M,K,N,mode,time_ms,speedup_vs_fp16,mae_vs_fp16
128,512,2048,global,0.41975807189941405,0.08354907882853287,3.259765625
128,512,2048,rowwise,0.4443766403198242,0.07892044058120706,2.04296875
128,512,2048,groupwise,0.7948937225341797,0.04411960900411956,1.896484375
128,2048,2048,global,1.4879948425292968,0.06032192977589704,6.9375
128,2048,2048,rowwise,1.8161946105957032,0.049421311942176055,4.1796875
128,2048,2048,groupwise,1.4896461486816406,0.06025506156437691,3.810546875
128,2048,8192,global,5.03906494140625,0.03829332492450343,7.00390625
128,2048,8192,rowwise,6.8900537109375,0.02800595745873914,4.17578125
128,2048,8192,groupwise,5.5304638671875,0.03489084383351624,3.802734375
128,8192,2048,global,5.587930297851562,0.03479224454453257,13.9375
128,8192,2048,rowwise,7.415319213867187,0.02621824250762948,8.3046875
128,8192,2048,groupwise,6.939909057617188,0.028014291802176308,7.60546875
128,128256,2048,global,90.71845703125,0.05063329088429282,63.03125
128,128256,2048,rowwise,124.4948046875,0.03689611012256724,33.28125
128,128256,2048,groupwise,106.093974609375,0.04329533359787622,30.171875
512,512,2048,global,1.4783097839355468,0.028607804829788166,3.16796875
512,512,2048,rowwise,1.84391357421875,0.022935563991773773,2.0546875
512,512,2048,groupwise,1.4620649719238281,0.028925662394569535,1.9013671875
512,2048,2048,global,5.476802368164062,0.02501290162264425,6.40625
512,2048,2048,rowwise,7.289376220703125,0.018793201872675296,4.18359375
512,2048,2048,groupwise,5.913578491210938,0.023165452026240173,3.8046875
512,2048,8192,global,21.17719970703125,0.023119929492478885,7.1171875
512,2048,8192,rowwise,28.49434326171875,0.017182896955287606,4.171875
512,2048,8192,groupwise,23.1373095703125,0.02116129200704186,3.810546875
512,8192,2048,global,21.6809423828125,0.04635761722238149,14.421875
512,8192,2048,rowwise,29.62980712890625,0.03392113973709929,8.3046875
512,8192,2048,groupwise,26.92702880859375,0.03732594617651094,7.60546875
512,128256,2048,global,353.944140625,0.03793107277697642,61.5
512,128256,2048,rowwise,477.1537890625,0.028136590895378413,33.21875
512,128256,2048,groupwise,399.748984375,0.033584778152774386,30.15625
2048,512,2048,global,5.4417791748046875,0.022802894417008165,3.208984375
2048,512,2048,rowwise,7.126507568359375,0.017412219768723553,2.052734375
2048,512,2048,groupwise,5.659890747070312,0.02192415392964538,1.9013671875
2048,2048,2048,global,21.33311279296875,0.03941391324693642,6.69921875
2048,2048,2048,rowwise,28.473134765625,0.029530343737363445,4.171875
2048,2048,2048,groupwise,23.0978564453125,0.03640257523030093,3.8046875
2048,2048,8192,global,85.7705859375,0.03668566407618069,7.15625
2048,2048,8192,rowwise,113.71583984375,0.027670295603882414,4.171875
2048,2048,8192,groupwise,92.46810546875,0.03402849974452762,3.810546875
2048,8192,2048,global,85.745966796875,0.04291784063732043,14.1875
2048,8192,2048,rowwise,114.555908203125,0.03212432947374478,8.2734375
2048,8192,2048,groupwise,104.43884765625,0.03523623460873204,7.62109375
2048,128256,2048,global,1378.586875,0.0379568296044999,61.46875
2048,128256,2048,rowwise,1840.04828125,0.028437725054599024,33.28125
2048,128256,2048,groupwise,1533.7721875,0.03411640107692004,30.15625
